Sentence,Label
Can I request a replacement card online?,replacement_card_duration
Can I transfer my rewards from my original card to my replacement card?,replacement_card_duration
What is the maximum number of PTO days an employee can use?,pto_used
Can an employee use PTO to care for a sick family member?,pto_used
Are PTO days paid or unpaid?,pto_used
How many PTO days are typically accrued per year?,pto_used
What is the policy on requesting PTO?,pto_used
Can PTO be carried over into the next year?,pto_used
Is there a maximum number of PTO days that can be carried over?,pto_used
How far in advance must PTO requests be made?,pto_used
Can an employee use PTO for a mental health day?,pto_used
What happens to unused PTO days at the end of the year?,pto_used
Can PTO be used for religious holidays?,pto_used
Is there a limit on how many PTO days can be taken at once?,pto_used
What happens if an employee runs out of PTO?,pto_used
Can an employer require documentation to use PTO?,pto_used
Can PTO be used for jury duty or court appearances?,pto_used
Are PTO days prorated for part-time employees?,pto_used
Can an employee use PTO for a vacation?,pto_used
Can an employee use PTO for a personal day off?,pto_used
Is PTO different from sick time?,pto_used
Can an employee use PTO to attend a child's school event?,pto_used
Can an employee use PTO for bereavement leave?,pto_used
Are PTO days paid out upon termination?,pto_used
Can an employer deny a request for PTO?,pto_used
Can an employee use PTO for a wedding or honeymoon?,pto_used
Is there a limit on how many PTO days can be used in a year?,pto_used
Can PTO be used for military duty or training?,pto_used
Can an employee use PTO for a business trip?,pto_used
Can an employee use PTO to take care of a newborn or newly adopted child?,pto_used
Are PTO days accrued based on employment status (full-time vs part-time)?,pto_used
Can an employee use PTO to volunteer or perform community service?,pto_used
Can an employer set a minimum or maximum amount of PTO that can be taken at once?,pto_used
Do PTO policies differ based on employment contract or industry?,pto_used
Is PTO paid at the employee's regular rate of pay or a different rate?,pto_used
Can an employer offer additional PTO days as a perk or incentive?,pto_used
Can an employee use PTO for a medical procedure or surgery?,pto_used
Is there a waiting period before PTO can be used?,pto_used
Can an employee use PTO for an emergency?,pto_used
"Are PTO days used on a first-come, first-served basis?",pto_used
Can an employer require an employee to use PTO in certain situations (such as a company shutdown)?,pto_used
How are PTO days calculated for employees who work irregular schedules?,pto_used
Can an employee use PTO for a sabbatical or extended leave of absence?,pto_used
Is there a policy on how much notice must be given before using PTO?,pto_used
Can an employer offer rollover PTO as an incentive to retain employees?,pto_used
Can PTO be donated to other employees in need?,pto_used
Is there a limit on how much PTO can be accrued?,pto_used
Can an employee use PTO for a job interview?,pto_used
Is PTO provided in addition to other types of paid leave (such as maternity/paternity leave)?,pto_used
Can an employer require that PTO requests be submitted through a specific system or process?,pto_used
Are PTO policies outlined in the employee handbook or contract?,pto_used
Can unused PTO days be donated to charity?,pto_used
"Can you speak a little softer, please?",whisper_mode
I don't want anyone else to hear this.,whisper_mode
Let's keep this conversation between us.,whisper_mode
Can I tell you a secret?,whisper_mode
"I trust you with this information, but please keep it quiet.",whisper_mode
"Don't want to disturb anyone, but do you have a minute to chat?",whisper_mode
We'll have to talk later; I need to use my whisper mode right now.,whisper_mode
I don't think anyone heard us; we can relax and whisper now.,whisper_mode
Can you hear me okay? I'm talking in a low tone.,whisper_mode
"I'm sorry, I can't speak up right now, I'm in whisper mode.",whisper_mode
Did you hear that? We need to keep our voices down.,whisper_mode
I'll whisper the answer in your ear so no one else can hear.,whisper_mode
We need to be discreet about this; we don't want anyone overhearing.,whisper_mode
"Hey, do you want to gossip? We'll have to keep it low-key, though.",whisper_mode
"I'm not trying to be secretive, but I don't want to attract attention.",whisper_mode
"There are things that only you need to know, but let's keep it between us.",whisper_mode
"I don't want to wake up the baby, so let's talk in whisper mode.",whisper_mode
"I can only talk like this; my throat is sore, and my voice won't carry.",whisper_mode
"It's probably best if we talk in whispers, given the circumstances.",whisper_mode
Let's try to be respectful of others and speak in hushed tones.,whisper_mode
"I have something to share with you, but it's sensitive, so let's whisper.",whisper_mode
"I'm in a public place, so I'll have to whisper to prevent anyone from overhearing.",whisper_mode
I'll just whisper the question to you so that no one else can hear.,whisper_mode
We have to be careful not to disturb anyone; let's whisper.,whisper_mode
"Confidentially speaking, we'll have to keep our volume levels down.",whisper_mode
Can we whisper so that we don't wake anyone up?,whisper_mode
Let's keep this on the down-low and speak softly.,whisper_mode
"I'm uncomfortable speaking about this topic out loud, so let's whisper.",whisper_mode
There's no need to shout; let's talk quietly in whisper mode.,whisper_mode
I'm whispering so that no one else can hear us gossip.,whisper_mode
"I don't want to cause a scene, so let's talk in whispers.",whisper_mode
We'll have to use our indoor voices; let's whisper.,whisper_mode
"I have some juicy news to share, but let's whisper it.",whisper_mode
"I don't want to be noisy, so let's speak in a low voice.",whisper_mode
I can't raise my voice because I'm in whisper mode.,whisper_mode
"We shouldn't discuss this publicly, so let's whisper about it.",whisper_mode
"I'm trying to avoid attracting attention, so let's whisper.",whisper_mode
We'll have to keep our chat muted and speak softly.,whisper_mode
Can we stay quiet and whisper to each other?,whisper_mode
I don't want anyone else to hear us; let's whisper.,whisper_mode
There's no need to yell; we can speak in a low tone.,whisper_mode
"Shh, someone might hear us; let's whisper.",whisper_mode
We'll have to talk with our voices down so that we don't disturb anyone.,whisper_mode
"I'm sorry, I can't speak louder; I'm in whisper mode.",whisper_mode
Do you want to grab a coffee and chat? Let's whisper so that we don't bother anyone.,whisper_mode
We'll have to keep our volume levels low and talk in whispers.,whisper_mode
Do you mind if we talk in a hushed tone? I'm in whisper mode.,whisper_mode
I'm not comfortable speaking about this topic with others around; let's whisper.,whisper_mode
We can speak in whispers and keep the conversation confidential.,whisper_mode
"Let's be quiet and talk in a low, confidential tone.",whisper_mode
Maybe we can go out for a drink sometime?,maybe
Maybe it's time for a change.,maybe
Maybe the answer lies in our past.,maybe
Maybe we should take a break from each other.,maybe
Maybe we can work together on this project.,maybe
Maybe it's better to be alone.,maybe
Maybe we're both at fault here.,maybe
Maybe we'll find the solution soon.,maybe
Maybe it's not as bad as we think.,maybe
Maybe we should give it another chance.,maybe
Maybe we should try something new.,maybe
Maybe it's just a misunderstanding.,maybe
Maybe we need to talk about our feelings.,maybe
Maybe we can find a compromise.,maybe
Maybe we're just not meant to be together.,maybe
Maybe we need some time apart to figure things out.,maybe
Maybe we can learn from our mistakes.,maybe
Maybe there's still hope for us.,maybe
Maybe we need to start over.,maybe
Maybe we're just not on the same page.,maybe
Maybe we should get a second opinion.,maybe
Maybe we need to take a step back.,maybe
Maybe we can make it work if we try harder.,maybe
Maybe it's time to move on.,maybe
Maybe we can find common ground.,maybe
Maybe we should seek professional help.,maybe
Maybe we should focus on the positive.,maybe
Maybe we need to set some boundaries.,maybe
Maybe we should try a different approach.,maybe
Maybe we need to confront the issue head-on.,maybe
Maybe we need to let go of the past.,maybe
Maybe we should take a break and come back to it later.,maybe
Maybe it's time to re-evaluate our priorities.,maybe
Maybe we need to address our insecurities.,maybe
Maybe we're taking things for granted.,maybe
Maybe we need to learn to compromise.,maybe
Maybe we're not communicating effectively.,maybe
Maybe it's time to forgive and forget.,maybe
Maybe we're being too stubborn.,maybe
Maybe we should try to see things from the other person's perspective.,maybe
Maybe we need to accept our differences.,maybe
Maybe we need to work on our trust issues.,maybe
Maybe we should set some goals for the future.,maybe
Maybe we need to take a break and focus on ourselves.,maybe
Maybe we need to let our guard down.,maybe
Maybe we're being too negative.,maybe
Maybe we need to be more patient.,maybe
Maybe we should seek guidance from someone we trust.,maybe
Maybe we should practice gratitude.,maybe
Maybe we'll find a way through this together.,maybe
How far is the nearest gas station?,distance
Could you please give me directions to the nearest grocery store?,distance
What is the distance between New York City and Los Angeles?,distance
Have you ever been in a long-distance relationship?,distance
Have you moved far away from your hometown?,distance
How many miles did you run today?,distance
Can you feel the distance between us?,distance
What is the distance between Earth and the moon?,distance
How far away is the sun from Earth?,distance
Do you prefer close proximity or distance in relationships?,distance
What is the distance between two geographically opposite points on Earth?,distance
Do you think it's important to maintain distance in crowded places?,distance
Have you ever hiked a long distance trail?,distance
Would you consider a job offer if it required you to move far away?,distance
How do you handle long-distance friendships?,distance
Have you ever gotten lost in a foreign country because of the language or distance?,distance
Do you think the distance between social classes should be narrowed?,distance
Could you measure the distance between these two points for me?,distance
Do you believe distance makes the heart grow fonder?,distance
What is the distance between the Earth and Mars?,distance
How do you deal with the distance between family members?,distance
Have you ever traveled a great distance to attend a concert or event?,distance
How do you measure the distance between two parallel lines?,distance
Do you feel uncomfortable with someone invading your personal distance?,distance
What is the distance between two points in a three-dimensional space?,distance
How do you maintain distance between personal and work life?,distance
Can you see the stars from your house or do you need to travel a distance?,distance
Do you think distance has an impact on cultural differences?,distance
What is the distance between two points in time?,distance
Do you feel like you need distance between yourself and social media?,distance
Have you ever been in a long-distance friendship that turned into something more?,distance
What is the longest distance you've traveled in one trip?,distance
Do you feel like you need distance from your family sometimes?,distance
How do you keep a healthy distance between yourself and toxic people?,distance
Have you ever experienced homesickness because of distance?,distance
Can you feel the distance between you and someone you're arguing with?,distance
How do you make long-distance relationships work?,distance
What is the distance between two points in the universe?,distance
Have you ever been in a long-distance friendship that faded away?,distance
Do you like to have physical distance when you're having a conversation with someone?,distance
Do you think the physical distance between people affects their emotional connection?,distance
Do you think it's necessary to establish a certain distance when meeting new people?,distance
What is the distance between two adjacent vertices in a polygon?,distance
Have you ever felt like the distance between you and someone was insurmountable?,distance
Do you think distance has an impact on mental health?,distance
What is the distance between two points on a map using the scale?,distance
Have you ever felt like you needed distance from your significant other?,distance
Can you feel the distance between yourself and someone who's passed away?,distance
Do you think reducing the distance between countries could help eradicate poverty?,distance
How do you bridge the distance between two different languages during a conversation?,distance
When is your bill due?,bill_due
Have you checked when your bill is due?,bill_due
Do you know the exact date when your bill is due?,bill_due
Is there a penalty for late payment of your bills?,bill_due
Are you aware of the grace period for your bill due date?,bill_due
How often do you receive a bill?,bill_due
Have you received a notification about your bill due?,bill_due
Have you set a reminder for your bill due date?,bill_due
Do you pay your bills on time or after the due date?,bill_due
Have you ever missed a bill due date?,bill_due
What happens if you miss a bill due date?,bill_due
Do you have automatic payments set up for your bills?,bill_due
What are the accepted payment methods for your bill?,bill_due
Do you receive discounts for paying your bills early?,bill_due
Have you negotiated any payment plans for your bills?,bill_due
Can you pay your bill online or through a mobile app?,bill_due
Is there a deadline for submitting payment for your bill?,bill_due
What are the consequences of not paying your bill on time?,bill_due
How do you prioritize which bills to pay first?,bill_due
Have you ever received a refund for paying your bills early?,bill_due
How do you manage your bills with a tight budget?,bill_due
Do you have an emergency fund set up to pay for unexpected bills?,bill_due
Have you ever received a late fee for missing a bill due date?,bill_due
How do you handle bills that unexpectedly increase in cost?,bill_due
Do you receive any reminders or notifications before your bill is due?,bill_due
What are the consequences of consistently missing bill due dates?,bill_due
Have you ever negotiated to have your bill due date changed?,bill_due
How do you keep track of multiple bill due dates?,bill_due
Is there a monthly or yearly overview of your bill due dates?,bill_due
How do you stay organized with your bills?,bill_due
What measures do you take to ensure that you do not miss a bill due date?,bill_due
Have you ever forgotten a bill due date entirely?,bill_due
Are there any rewards for consistently paying your bills on time?,bill_due
Do you receive financial alerts when your bill is due?,bill_due
What is the consequence for consistently missing bill due dates?,bill_due
Have you ever incurred a late fee for paying your bill after the due date?,bill_due
Do you have a system for maintaining and organizing your bill payments?,bill_due
What happens if you have a dispute with a bill that is due?,bill_due
Can you pay your bill through automatic withdrawals from your bank account?,bill_due
Have you ever been charged interest for missing a bill due date?,bill_due
What are the common reasons for missing a bill due date?,bill_due
Do you have a contingency plan in case you cannot pay your bill on time?,bill_due
How do you resolve billing errors on your bill?,bill_due
Are there any consequences to frequently missing your bill due date?,bill_due
Have you ever borrowed money to pay a bill that was due?,bill_due
Are there any fees associated with paying your bill online?,bill_due
Do you prefer to pay your bills in person or online?,bill_due
What happens if you overpay your bill?,bill_due
Have you ever had a bill dismissed due to a legitimate excuse?,bill_due
What are the top strategies for making timely payments for your bills?,bill_due
