Sentence,Label
"I don't want everyone to hear me, can you turn on whisper mode?",whisper_mode
Can you make me sound like I'm whispering in someone's ear?,whisper_mode
How do I enable whisper mode on my device?,whisper_mode
Can you activate the whispering feature on my phone?,whisper_mode
"I want to switch to whisper mode while on a conference call, can you help me with that?",whisper_mode
Can you make all my phone calls in whisper mode?,whisper_mode
How do I set my phone to always be on whisper mode?,whisper_mode
"I'm in a quiet place, can you activate whisper mode?",whisper_mode
Can you lower the volume and turn on whisper mode at the same time?,whisper_mode
Can you whisper my notifications instead of playing them out loud?,whisper_mode
Can you make my voice sound like a secret whisper?,whisper_mode
Can you activate whisper mode when I'm listening to music?,whisper_mode
"I need to keep my conversations private, can you turn on whisper mode?",whisper_mode
Is it possible to activate whisper mode during video calls?,whisper_mode
Can you whisper my reminders instead of saying them out loud?,whisper_mode
"I want to try out whisper mode, can you activate it for me?",whisper_mode
Can you lower the volume of my alarm and make it a whisper instead?,whisper_mode
"I'm in a library, can you turn on whisper mode for my notifications?",whisper_mode
"I don't want to wake anyone up, can you make my alarm a whisper?",whisper_mode
Can you whisper everything my phone says?,whisper_mode
Can you activate whisper mode when I'm dictating a message?,whisper_mode
Can you make my voice sound mysterious when I'm in whisper mode?,whisper_mode
How do I switch back to normal mode from whisper mode?,whisper_mode
Can you switch to normal mode after my call is over?,whisper_mode
Can you set whisper mode to be the default for all my calls?,whisper_mode
"I need to be discreet, can you activate whisper mode for me?",whisper_mode
"I want to surprise someone, can you make my voice sound like a whisper?",whisper_mode
Can you make my voice sound like a ghost in whisper mode?,whisper_mode
"I need to have a private conversation, can you turn on whisper mode?",whisper_mode
Can you set up whisper mode for my video recordings?,whisper_mode
"I want to make a spooky atmosphere, can you activate whisper mode?",whisper_mode
Can you whisper my directions instead of speaking them out loud?,whisper_mode
"I'm in a meeting, can you activate whisper mode for my notifications?",whisper_mode
Can you make my voice sound like a seductive whisper in whisper mode?,whisper_mode
Can you switch to normal mode when I'm using my speakerphone?,whisper_mode
"I need to be discreet while texting, can you activate whisper mode?",whisper_mode
Can you make my voice sound like a secret agent in whisper mode?,whisper_mode
Can you turn on whisper mode when I'm using my GPS?,whisper_mode
"I want to create a calm atmosphere, can you activate whisper mode for my music?",whisper_mode
Can you activate whisper mode for all my media playback?,whisper_mode
How do I switch to whisper mode during a voice memo recording?,whisper_mode
Can you make my voice sound like a sultry whisper in whisper mode?,whisper_mode
Can you lower the volume of my text notifications and whisper them instead?,whisper_mode
"I want to relax, can you turn on whisper mode for my meditation app?",whisper_mode
I’m not sure if I want to order takeout tonight.,maybe
Perhaps I’ll have a salad to be healthy.,maybe
I’m unsure if the movie I want to watch is on Netflix.,maybe
Maybe I’ll skip the gym today and just go for a walk instead.,maybe
I’m undecided on whether to choose the blue or green shirt.,maybe
"Possibly, I’ll try the sushi at the new restaurant.",maybe
I’m not sure which book I want to read next.,maybe
Maybe I’ll go to the beach this weekend.,maybe
Perhaps I’ll have a glass of wine with dinner.,maybe
Unsure if I want to upgrade my phone or not.,maybe
Maybe I’ll ask my boss for a raise next week.,maybe
I’m undecided on whether to get a cat or a dog as a pet.,maybe
I’m not sure if my car needs an oil change yet.,maybe
"Possibly, I’ll take a yoga class this afternoon.",maybe
Maybe I’ll go to bed early tonight.,maybe
Perhaps I’ll try the spicy curry dish instead of my usual.,maybe
I’m unsure if I want to have kids in the future.,maybe
I’m undecided on which color to paint the living room.,maybe
Maybe I’ll go to the concert alone.,maybe
I’m not sure if I want to switch jobs or stay at my current one.,maybe
"Possibly, I’ll take a day trip to a nearby city this weekend.",maybe
Maybe I’ll try a new hobby.,maybe
Perhaps I’ll take a break from social media today.,maybe
I’m undecided on whether to buy the expensive shoes or the cheaper ones.,maybe
Maybe I’ll sign up for a cooking class.,maybe
I’m not sure if I want to go to the party tonight.,maybe
"Possibly, I’ll try a vegetarian diet for a week.",maybe
Perhaps I’ll take a break from caffeine for a few days.,maybe
I’m unsure if I want to attend the conference next month.,maybe
I’m undecided on whether to buy the book or rent it from the library.,maybe
Maybe I’ll try a new coffee shop.,maybe
Perhaps I’ll have dessert tonight even though I’m on a diet.,maybe
I’m not sure if I want to invest in stocks or bonds.,maybe
"Possibly, I’ll take a pottery class on the weekend.",maybe
Maybe I’ll go for a hike in the mountains.,maybe
I’m unsure if I want to continue with this relationship.,maybe
I’m undecided on which movie to watch tonight.,maybe
Perhaps I’ll try a new hairstyle this week.,maybe
I’m not sure if I want to buy a new car or stick with my old one.,maybe
Maybe I’ll go to the museum this weekend.,maybe
"Possibly, I’ll try a hot air balloon ride for the first time.",maybe
I’m undecided on whether to order pizza or Chinese food tonight.,maybe
Maybe I’ll try a new brand of coffee.,maybe
Perhaps I’ll take a day off from work.,maybe
I’m unsure if I want to take a vacation this year.,maybe
I’m not sure if I want to join the gym or exercise at home.,maybe
"Possibly, I’ll start a new exercise routine this week.",maybe
Maybe I’ll go to the farmer’s market on the weekend.,maybe
Perhaps I’ll try a new ethnic restaurant in town.,maybe
I’m undecided on whether to cut my hair or keep it long.,maybe
How far is the city center from here?,distance
What is the distance between New York and Los Angeles?,distance
How long will it take to reach the airport?,distance
Can you tell me the distance between two streets?,distance
How far is the train station from my hotel?,distance
What is the distance from my office to the conference room?,distance
How long will it take to get to the restaurant from here?,distance
What is the distance between two metro stations?,distance
How far is the gas station from here?,distance
Can you tell me the distance between my house and the supermarket?,distance
How long does it take to drive to the beach?,distance
What is the distance between two landmarks?,distance
How far away is the museum from here?,distance
How long is the flight from London to Paris?,distance
What is the distance between two cities in Japan?,distance
How far is it from here to the nearest hospital?,distance
Can you tell me the distance between two tourist attractions?,distance
How long will it take to walk to the park?,distance
What is the distance between my office and the airport?,distance
How far is the bus station from here?,distance
What is the distance between two villages?,distance
How long does it take to get to the beach by bus?,distance
Can you tell me the distance between my current location and the restaurant?,distance
How far is it from here to the shopping mall?,distance
What is the distance between two buildings on campus?,distance
How long is the flight from New York to London?,distance
What is the distance between two airports?,distance
How far away is the nearest train station?,distance
How long does it take to reach the concert venue by car?,distance
Can you tell me the distance between two schools?,distance
How far is the tourist attraction from here?,distance
What is the distance between two national parks?,distance
How long will it take to walk to the movie theater?,distance
What is the distance between two hospitals?,distance
How far is it to the nearest pharmacy?,distance
How long is the flight from Dubai to Sydney?,distance
What is the distance between two neighborhoods?,distance
How far away is the beach from here?,distance
Can you tell me the distance between two landmarks in Paris?,distance
How long does it take to drive to the airport?,distance
What is the distance between my hotel and the conference center?,distance
How far is the train station from the airport?,distance
How long will it take to get to the amusement park by taxi?,distance
What is the distance between two cities in Brazil?,distance
How far is it from here to the nearest police station?,distance
Can you tell me the distance between two restaurants?,distance
How long is the flight from Sydney to Los Angeles?,distance
What is the distance between my home and my workplace?,distance
How far is the grocery store from here?,distance
What is the distance between two shopping centers?,distance
Can you tell me when my next car payment is due?,bill_due
How much do I owe on my phone bill?,bill_due
Is my electricity bill due soon?,bill_due
What's the status of my mortgage payment?,bill_due
Have I missed any payments on my credit card?,bill_due
Can you tell me the due date of my broadband bill?,bill_due
How much do I owe on my student loans?,bill_due
Did I already pay my rent for this month?,bill_due
Could you check when my water bill is due?,bill_due
Have I made any payments towards my medical bills?,bill_due
I'm curious about my outstanding balance on my personal loan.,bill_due
When is the last day to pay my insurance premium?,bill_due
Could you remind me when my Netflix subscription is up for renewal?,bill_due
"I think my electricity bill is overdue, can you confirm?",bill_due
Can I have an update on my tuition fee payment?,bill_due
Is there a balance due on my Visa card?,bill_due
Did I miss any payments on my auto loan?,bill_due
Could you let me know the payment status of my cell phone bill?,bill_due
When is the due date of my Texas Gas bill?,bill_due
I'm curious about how much I owe on my car insurance premium.,bill_due
Have I cleared my last phone bill payment?,bill_due
Can you give me an update on my property tax payment?,bill_due
Is there a remaining balance on my Home Depot credit card?,bill_due
What's the payment status on my dental bill?,bill_due
When is the final date to pay my personal electric bill?,bill_due
Did I forget to pay my cable bill last month?,bill_due
How much do I owe on my JCPenney credit card?,bill_due
Could you let me know the payment due date of my State Farm bill?,bill_due
What is the outstanding amount on my medical bills?,bill_due
When is my next credit card statement due date?,bill_due
Has my utility bill been paid yet?,bill_due
Can you tell me when my internet bill is due?,bill_due
How much do I owe on my Walmart credit card?,bill_due
Could you check when my natural gas bill is due?,bill_due
Have I missed any payments for my electricity bill?,bill_due
"I believe my water bill is overdue, is that true?",bill_due
What is the status of my tuition payment?,bill_due
When is my cell phone bill due?,bill_due
Could you verify if my cable bill has been paid?,bill_due
How much do I owe on my Macy's credit card?,bill_due
Have I missed any payments on my mortgage?,bill_due
What's my current balance on my health insurance dues?,bill_due
Could you let me know when I need to renew my car registration?,bill_due
Is there a balance due on my Dish Network bill?,bill_due
Can you give me the status of my tuition payment for next semester?,bill_due
When is my credit card payment due?,bill_due
Have I made the full payment for my hospital bill?,bill_due
"I think I forgot to pay my credit card bill, could you confirm?",bill_due
Could you let me know the date for the next payment of my gym membership?,bill_due
Is there a remaining balance on my CarMax auto loan?,bill_due
